Title,Author,Year,Citation count,Open access,Funder,Institution,Countries count,Keyword
Optimization of oncocin for antibacterial activity using a SPOT synthesis approach: extending the pathogen spectrum to Staphylococcus aureus,Daniel Knappe|Serge Ruden|Stefanie Langanke|Tarun Tikkoo|Jennifer Ritzer|Ralf Mikut|Lisandra L. Martin|Ralf Hoffmann|Kai Hilpert,2015,43,NOT Open Access,Deutscher Akademischer Austauschdienst|Bundesministerium für Bildung und Forschung,"Leipzig University|Karlsruhe Institute of Technology|Monash University|St George's, University of London",3,Staphylococcus aureus|Antibacterial activity|Pathogen|Microbiology|Biology|Computational biology|Bacteria|Genetics
Graphene oxide as antibacterial sensitizer: Mechanically disturbed cell membrane for enhanced poration efficiency of melittin,Shufeng Xiao|Xuemei Lu|Lu Gou|Jingliang Li|Yu‐qiang Ma|Jiaojiao Liu|Kai Yang|Bing Yuan,2019,38,Open Access,National Natural Science Foundation of China|Natural Science Foundation of Jiangsu Province,Soochow University|Xi'an Jiaotong University|Deakin University|Nanjing University|Suzhou University of Technology,2,Melittin|Membrane|Biophysics|Membrane potential|Peptide|Chemistry|Bacteria|Graphene|Antibacterial activity|Cell membrane|Vesicle|Antimicrobial peptides|Chemical engineering|Materials science|Nanotechnology|Biochemistry|Biology
Ribosomally synthesized bacteriocins of lactic acid bacteria: Simplicity yet having wide potentials – A review,Ghoson M. Daba|Waill A. Elkhateeb,2023,38,Open Access,,National Research Centre,1,Bacteriocin|Antimicrobial peptides|Antimicrobial|Bacteria|Biology|Microbiology|Biochemistry|Computational biology
"Diacylglycerol Kinase A Is Essential for Polymyxin Resistance Provided by EptA, MCR-1, and Other Lipid A Phosphoethanolamine Transferases",Alexandria B. Purcell|Bradley J. Voss|M. Stephen Trent,2021,27,Open Access,National Science Foundation|National Institute of General Medical Sciences|National Institute of Allergy and Infectious Diseases,University of Georgia,1,Biology|Diacylglycerol kinase|Polymyxin|Kinase|Biochemistry|Lipid metabolism|Microbiology|Antibiotics|Protein kinase C
Treatment of Infected Wounds in the Age of Antimicrobial Resistance: Contemporary Alternative Therapeutic Options,Sarah J. Karinja|Jason A. Spector,2018,24,NOT Open Access,,Total (France)|Fundación Juan March|Cornell University|Committee on Publication Ethics|Columbia College|Royal College of Physicians|Columbia University|Ithaca College,5,Antimicrobial|Antibiotic resistance|Antibiotics|Medicine|Intensive care medicine|Microbiology|Biology
Anti-infective biomaterials with surface-decorated tachyplesin I,Qiong Xue|Xiaobin Liu|Yeh‐Hsing Lao|Linping Wu|Dong Wang|Zhenqiang Zuo|Junyu Chen|Jing Hou|Yuan-Yuan Bei|Xuefei Wu|Kam W. Leong|Hua Xiang|Jing Han,2018,50,NOT Open Access,National Natural Science Foundation of China|Chinese Academy of Sciences,Microbiology Institute of Shaanxi|Chinese Academy of Sciences|University of Chinese Academy of Sciences|Institute of Microbiology|Columbia University|Guangzhou Institutes of Biomedicine and Health|Beijing University of Chemical Technology|Jiangsu University,2,Polyhydroxyalkanoates|Biomaterial|Wound healing|In vivo|Materials science|In vitro|Fibroblast|Bacteria|Biocompatibility|Antimicrobial|Microbiology|Biophysics|Biochemistry|Nanotechnology|Chemistry|Biology|Immunology|Biotechnology
Advances in delivery systems for the therapeutic application of LL37,Xiaoxuan Lin|Ruoxun Wang|Sui Mai,2020,26,NOT Open Access,National Natural Science Foundation of China|Natural Science Foundation of Guangdong Province,Sun Yat-sen University|Stomatology Hospital,1,Cathelicidin|Antimicrobial|Nanotechnology|Antimicrobial peptides|Immune system|Computational biology|Biology|Immunology|Materials science|Microbiology
"Host defense peptide mimicking antimicrobial amino acid polymers and beyond: Design, synthesis and biomedical applications",Yueming Wu|Kang Chen|Jiangzhou Wang|Minzhang Chen|Yuan Chen|Yunrui She|Yan Zi|Runhui Liu,2023,82,NOT Open Access,,East China University of Science and Technology,1,Antimicrobial|Antimicrobial peptides|Amino acid|Combinatorial chemistry|Polymer|Peptide|Chemistry|Amphiphile|Polymerization|Nanotechnology|Organic chemistry|Biochemistry|Materials science|Copolymer
A polyalanine peptide derived from polar fish with anti-infectious activities,Marlon H. Cardoso|Suzana M. Ribeiro|Diego O. Nolasco|César de la Fuente‐Núñez|Mário R. Felício|Sónia Gonçalves|Carolina O. Matos|Luciano M. Lião|Nuno C. Santos|Robert E. W. Hancock|Octávio Luiz Franco|Ludovico Migliolo,2016,56,Open Access,"Fundación Ramón Areces|European Commission|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Ministerio de Economía y Competitividad|Ministério da Educação e Ciência|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Fundação de Apoio à Pesquisa do Distrito Federal|Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul|Ministério da Educação|National Institutes of Health|Horizon 2020 Framework Programme|Fundação para a Ciência e a Tecnologia|National Institute of Allergy and Infectious Diseases",Universidade de Brasília|Universidade Católica de Brasília|Universidade Católica Dom Bosco|Massachusetts Institute of Technology|University of British Columbia|University of Lisbon|Universidade Federal de Goiás,4,In silico|Bacteria|Peptide|Antimicrobial peptides|Microbiology|Biology|Pathogenic bacteria|Antimicrobial|Drug discovery|Biofilm|Gram-negative bacteria|Escherichia coli|Antibiotics|Antibiotic resistance|Bacterial cell structure|Chemistry|Computational biology|Biochemistry|Genetics
Peptoid Library Agar Diffusion (PLAD) Assay for the High-Throughput Identification of Antimicrobial Peptoids,Kevin J. Fisher|Jeremy A. Turkett|Ashley E. Corson|Kevin L. Bicker,2016,29,Open Access,Middle Tennessee State University|National Institute of Allergy and Infectious Diseases,Middle Tennessee State University,1,Peptoid|Chemistry|Antimicrobial|Antimicrobial peptides|Chemical library|Combinatorial chemistry|High-throughput screening|Chromatography|Peptide|Biochemistry|Small molecule|Organic chemistry
Bacteriocins to Thwart Bacterial Resistance in Gram Negative Bacteria,Soufiane Telhig|Laila Ben Said|Séverine Zirah|Ismaı̈l Fliss|Sylvie Rebuffat,2020,82,Open Access,International Development Research Centre|Muséum National d'Histoire Naturelle|Natural Sciences and Engineering Research Council of Canada,Molécules de Communication et Adaptation des Micro-organismes|Université Laval,2,Bacteria|Biology|Microbiology|Antibiotic resistance|Pseudomonas aeruginosa|Bacteriocin|Antimicrobial peptides|Gram-negative bacteria|Antibiotics|Pathogenic bacteria|Escherichia coli|Antimicrobial|Biochemistry|Gene|Genetics
Recent Progress in Bile Acid-Based Antimicrobials,Caihong Lin|Yushi Wang|Mengqi Le|K. F. Chen|Yong‐Guang Jia,2021,38,NOT Open Access,National Natural Science Foundation of China|Natural Science Foundation of Guangdong Province|South China University of Technology,South China University of Technology,1,Antimicrobial|Chemistry|Amphiphile|Bile acid|Biocompatibility|Antimicrobial peptides|Bacteria|Biofilm|Combinatorial chemistry|Biochemistry|Amino acid|Drug|Microbiology|Organic chemistry|Pharmacology|Biology|Copolymer
The Mla pathway is critical for Pseudomonas aeruginosa resistance to outer membrane permeabilization and host innate immune clearance,Jason Munguia|Doris L. LaRock|Hannah Tsunemoto|Joshua Olson|Ingrid Cornax|Joseph Pogliano|Victor Nizet,2017,46,Open Access,National Institutes of Health,University of California San Diego|Rady Children's Hospital-San Diego|University of Montana,1,Innate immune system|Pseudomonas aeruginosa|Immune system|Biology|Microbiology|Cell biology|Immunology|Chemistry|Bacteria|Genetics
Bacteriocin Producing Streptococcus agalactiae Strains Isolated from Bovine Mastitis in Brazil,João Ricardo Vidal Amaral|Rommel Thiago Jucá Ramos|Fabrício Almeida Araújo|Rodrigo Bentes Kato|Flávia Figueira Aburjaile|Siomar de Castro Soares|Aristóteles Goés‐Neto|Mateus Matiuzzi da Costa|Vasco Azevedo|Bertram Brenig|Selma Soares de Oliveira|Alexandre Soares Rosado,2022,27,Open Access,,Universidade Federal do Rio de Janeiro|Universidade Federal do Pará|Universidade Federal Rural da Amazônia|Universidade Federal de Minas Gerais|Universidade Federal do Triângulo Mineiro|Universidade Federal do Vale do São Francisco|University of Göttingen|King Abdullah University of Science and Technology,3,Streptococcus uberis|Streptococcus agalactiae|Microbiology|Biology|Antibiotic resistance|Bacteriocin|Mastitis|Antimicrobial|Lincosamides|Antibiotics|Streptococcus dysgalactiae|Virulence|Staphylococcus aureus|Streptococcus|Bacteria|Gene|Genetics
"Controlling Persister and Biofilm Cells of Gram-Negative Bacteria with a New 1,3,5-Triazine Derivative",Ali Adem Bahar|Zhigang Liu|Meagan Garafalo|Neville R. Kallenbach|Dacheng Ren,2015,37,Open Access,University of Washington,Syracuse University|New York University,1,Multidrug tolerance|Biofilm|Pseudomonas aeruginosa|Microbiology|Antimicrobial|Bacteria|Escherichia coli|Minimum inhibitory concentration|Antimicrobial peptides|Cytotoxicity|Biology|Antibiotics|Chemistry|In vitro|Biochemistry
Sensitizing Staphylococcus aureus to antibacterial agents by decoding and blocking the lipid flippase MprF,Christoph J Slavetinsky|Janna N Hauser|Cordula Gekeler|Jessica Slavetinsky|André Geyer|Alexandra Kraus|Doris Heilingbrunner|Samuel Wagner|Michael Tesar|Bernhard Krismer|Sebastian Kuhn|Christoph M Ernst|Andreas Peschel,2022,47,Open Access,Deutsches Zentrum für Infektionsforschung|Deutsche Forschungsgemeinschaft|MorphoSys|Universitätsklinikum Tübingen,German Center for Infection Research|University Children's Hospital Tübingen|University of Tübingen|MorphoSys (Germany),1,Flippase|Lipid II|Staphylococcus aureus|Antimicrobial|Antibiotics|Virulence|Antibiotic resistance|Virulence factor|Biofilm
Random Peptide Mixtures as Safe and Effective Antimicrobials against <i>Pseudomonas aeruginosa</i> and MRSA in Mouse Models of Bacteremia and Pneumonia,Richard C. Bennett|Myung Whan Oh|Shanny Hsuan Kuo|Yael Belo|Bar Maron|Einav Malach|Jingjun Lin|Zvi Hayouka|Gee W. Lau,2021,22,Open Access,,University of Illinois Urbana-Champaign|Hebrew University of Jerusalem,2,Pseudomonas aeruginosa|Antimicrobial|Antibiotics|Microbiology|Antibiotic resistance|Bacteremia|Pneumonia|Staphylococcus aureus|Biology|Bacteria|Medicine
StaBle-ABPpred: a stacked ensemble predictor based on biLSTM and attention mechanism for accelerated discovery of antibacterial peptides,Vishakha Singh|Sameer Shrivastava|Sanjay Kumar Singh|Abhinav Kumar|Sonal Saxena,2021,64,NOT Open Access,,Indian Institute of Technology BHU|Banaras Hindu University|Indian Veterinary Research Institute,1,Mechanism (biology)|Computer science|Antibacterial peptide|Computational biology|Artificial intelligence|Antibacterial activity|Biology|Bacteria|Physics|Genetics
Fatty Acid Conjugation Leads to Length-Dependent Antimicrobial Activity of a Synthetic Antibacterial Peptide (Pep19-4LF),Philip Storck|Florian Umstätter|Sabrina Wohlfart|Cornelius Domhan|Christian Kleist|Julia Werner|Klaus Brandenburg|Stefan Zimmermann|Uwe Haberkorn|Walter Mier|Philipp Uhl,2020,23,Open Access,,Heidelberg University|University Hospital Heidelberg|,1,Antimicrobial|Peptide|Chemistry|Antibacterial activity|Fatty acid|Antimicrobial peptides|Minimum inhibitory concentration|Antibiotics|Biochemistry|Bacteria|Biology|Organic chemistry
Amphipathic Peptide Antibiotics with Potent Activity against Multidrug-Resistant Pathogens,Jingru Shi|Chen Chen|Dejuan Wang|Ziwen Tong|Zhiqiang Wang|Yuan Liu,2021,36,Open Access,National Natural Science Foundation of China|China Postdoctoral Science Foundation|Government of Jiangsu Province|Natural Science Foundation of Jiangsu Province|Priority Academic Program Development of Jiangsu Higher Education Institutions|Jiangsu Association for Science and Technology|National Key Research and Development Program of China,Yangzhou University,1,Microbiology|Antibiotics|Bacteria|Multiple drug resistance|Antimicrobial|Antimicrobial peptides|Biology|Antibiotic resistance|Cardiolipin|Staphylococcus aureus|Biofilm|Methicillin-resistant Staphylococcus aureus|Gram-negative bacteria|Biochemistry|Escherichia coli|Membrane|Phospholipid
Central β-turn increases the cell selectivity of imperfectly amphipathic α-helical peptides,Changxuan Shao|Haotian Tian|Tianyu Wang|Zhihua Wang|Shuli Chou|Anshan Shan|Baojing Cheng,2018,82,NOT Open Access,National Natural Science Foundation of China,Northeast Agricultural University,1,Turn (biochemistry)|Selectivity|Materials science|Amphiphile|Cell|Biophysics|Nanotechnology|Composite material|Biochemistry|Chemistry|Copolymer|Biology|Catalysis|Polymer
Antimicrobial and anti-inflammatory activities of short dodecapeptides derived from duck cathelicidin: Plausible mechanism of bactericidal action and endotoxin neutralization,S. Dinesh Kumar|Song Yub Shin,2020,37,NOT Open Access,"National Research Foundation of Korea|Ministry of Science and ICT, South Korea",Chosun University,1,Cathelicidin|Chemistry|Antimicrobial peptides|Antimicrobial|Cytotoxicity|Lipopolysaccharide|Microbiology|Biochemistry|Peptide|Biology|In vitro|Immunology
QSAR modeling of the antimicrobial activity of peptides as a mathematical function of a sequence of amino acids,Mariya A. Toropova|Aleksandar M. Veselinović|Jovana B. Veselinović|Dušica Stojanović|Andrey A. Toropov,2015,46,NOT Open Access,,University of Milan|University of Nis|Mario Negri Institute for Pharmacological Research|Istituti di Ricovero e Cura a Carattere Scientifico,2,Quantitative structure–activity relationship|Monte Carlo method|Antimicrobial peptides|Antimicrobial|Computational biology|Peptide|Representation (politics)|Chemistry|Biological system|Computer science|Combinatorial chemistry|Mathematics|Machine learning|Biology|Biochemistry|Organic chemistry|Statistics
Molecular Dynamics Simulation of the Interaction of Two Linear Battacin Analogs with Model Gram-Positive and Gram-Negative Bacterial Cell Membranes,Aparajita Chakraborty|Elisey Kobzev|Jonathan Chan|Gayan Heruka De Zoysa|Vijayalekshmi Sarojini|Thomas J. Piggot|Jane R. Allison,2020,42,Open Access,"University of Canterbury|University of Southampton|Commonwealth Scholarship Commission|Royal Society Te Apārangi|University of Auckland|Massey University|Directorate for Biological Sciences|Defence Science and Technology Laboratory|Biomolecular Interaction Centre, University of Canterbury|Defence Science and Technology Group",University of Auckland|Maurice Wilkins Centre|Massey University|University of Oxford|Victoria University of Wellington|MacDiarmid Institute for Advanced Materials and Nanotechnology|Defence Science and Technology Laboratory|University of Southampton|University of Canterbury,2,Membrane|Molecular dynamics|Antimicrobial peptides|Biophysics|Gram-negative bacteria|Cell membrane|Chemistry|Gram|Hydrophobic effect|Dynamics (music)|Multiple drug resistance|Peptide|Bacteria|Combinatorial chemistry|Biochemistry|Biology|Antibiotics|Computational chemistry|Escherichia coli|Physics
Peptide Bacteriocins - Structure Activity Relationships,Hashem Etayash|Sarfuddin Azmi|Ramana Venkata Dangeti|Kamaljit Kaur,2015,38,NOT Open Access,,|Chapman University,1,Bacteriocin|Nisin|Peptide|Antimicrobial|Antimicrobial peptides|Antibiotics|Computational biology|Bacteria|Chemistry|Biology|Microbiology|Biochemistry|Genetics
Carbosilane Dendron–Peptide Nanoconjugates as Antimicrobial Agents,Jael Fernandez|Gerardo Acosta|Daniel Pulido|Marek Malý|José Luis Copa-Patiño|Juán Soliveri|Míriam Royo|Rafael Gómez|Fernando Alberício|Paula Ortega|F. Javier de la Mata,2019,36,NOT Open Access,Comunidad de Madrid|Generalitat de Catalunya|Ministerio de Economía y Competitividad|European Regional Development Fund|European Social Fund,"Biomedical Research Networking Center in Bioengineering, Biomaterials and Nanomedicine|Instituto Ramón y Cajal de Investigación Sanitaria|Institute of Advanced Chemistry of Catalonia|Universitat de Barcelona|Inje University|Universidad de Alcalá|University of KwaZulu-Natal",3,Dendrimer|Antimicrobial|Bacteria|Combinatorial chemistry|Chemistry|Antimicrobial peptides|Cationic polymerization|Antibiotics|Peptide|Nanotechnology|Microbiology|Biochemistry|Biology|Organic chemistry|Materials science
Investigation of the Mechanism of Action of AMPs from Amphibians to Identify Bacterial Protein Targets for Therapeutic Applications,Carolina Canè|Lidia Tammaro|Angela Duilio|Angela Di Somma,2024,14,Open Access,,Ceinge Biotecnologie Avanzate (Italy)|University of Naples Federico II,1,Antimicrobial peptides|Computational biology|Biology|Antimicrobial|Mechanism (biology)|Identification (biology)|Amphibian|Antibiotics|Mechanism of action|Microbiology|Genetics|Ecology
"Imaging bacteria with radiolabelled quinolones, cephalosporins and siderophores for imaging infection: a systematic review",Sveva Auletta|Filippo Galli|Chiara Lauri|Daniela Martinelli|Iolanda Santino|Alberto Signore,2016,66,Open Access,Sapienza Università di Roma,Sapienza University of Rome,1,Antibiotics|Ciprofloxacin|Bacteria|Antimicrobial|Cephalosporin|Microbiology|Antibiotic resistance|In vivo|Biology|Medicine|Biotechnology
Noncovalent Conjugates of Ionic Liquid with Antibacterial Peptide Melittin: An Efficient Combination against Bacterial Cells,Juhi Saraswat|Farooq Ahmed Wani|Khalid Imtiyaz Dar|M. Moshahid Alam Rizvi|Rajan Patel,2020,46,Open Access,Indian Council of Medical Research|Science and Engineering Research Board,Jamia Millia Islamia,1,Melittin|Antibacterial activity|Chemistry|Conjugate|Covalent bond|Combinatorial chemistry|Non-covalent interactions|Peptide|Antimicrobial|Staphylococcus aureus|Escherichia coli|Antimicrobial peptides|Antibiotics|Biophysics|Biochemistry|Organic chemistry|Bacteria|Biology|Molecule
Feasibility Study Exploring the Potential of Novel Battacin Lipopeptides as Antimicrobial Coatings,Gayan Heruka De Zoysa|Vijayalekshmi Sarojini,2016,40,NOT Open Access,University of Auckland,University of Auckland,1,Biofilm|Antimicrobial|Materials science|Escherichia coli|Maleimide|Contact angle|Pseudomonas aeruginosa|Ethylene glycol|Microbiology|Lipopeptide|Combinatorial chemistry|Bacteria|Chemistry|Biochemistry|Organic chemistry|Polymer chemistry|Biology
Peptides from American alligator plasma are antimicrobial against multi-drug resistant bacterial pathogens including Acinetobacter baumannii,Stephanie M. Barksdale|Evelyn J. Hrifko|Ezra M. Chung|Monique L. van Hoek,2016,30,Open Access,Defense Threat Reduction Agency|Binghamton University,George Mason University|STCube (United States),1,Acinetobacter baumannii|Biology|Antimicrobial peptides|Antimicrobial|Microbiology|Staphylococcus aureus|Pseudomonas aeruginosa|Escherichia coli|Peptide|Bacterial outer membrane|Bacteria|Biochemistry
"Characterization of bactericidal efficiency, cell selectivity, and mechanism of short interspecific hybrid peptides",Na Dong|X R Li|Xinyao Xu|Y. F. Lv|Z. Y. Li|A. S. Shan|J. L. Wang,2017,19,NOT Open Access,,Northeast Agricultural University|Jinzhou Medical University,1,Antimicrobial peptides|Peptide|Cathelicidin|Antimicrobial|Biochemistry|Biology|Bacteria|Chemistry|Microbiology
A bacteriocin expression platform for targeting pathogenic bacterial species,Jack W. Rutter|Linda Dekker|Chania Clare|Zoe F. Slendebroek|Kimberley A. Owen|Julie A. K. McDonald|Sean P. Nair|Alex J. H. Fedorec|C. Barnes,2024,27,Open Access,Medical Research Council|Engineering and Physical Sciences Research Council,University College London|Imperial College London|Eastman Dental Hospital|St Christopher's Hospice,1,Bacteriocin|Enterococcus faecium|Secretion|Microbiology|Pathogenic bacteria|Bacteria|Enterococcus faecalis|Antimicrobial|Antimicrobial peptides|Escherichia coli|Colicin|Biology|Antibiotics|Biochemistry|Staphylococcus aureus|Genetics|Gene
"An alternatingly amphiphilic, resistance-resistant antimicrobial oligoguanidine with dual mechanisms of action",Zhiyong Chen|Cailing Zhou|Yangfan Xu|Kang Wen|Junfeng Song|Silei Bai|Chenxuan Wu|Weitong Huang|Qingyun Cai|Kai Zhou|Hui Wang|Yingjie Wang|Xinxin Feng|Yugang Bai,2021,58,NOT Open Access,National Natural Science Foundation of China,Hunan University|Jinan University|Southern University of Science and Technology|ShenZhen People’s Hospital|Shenzhen Second People's Hospital|Peking University|Peking University People's Hospital|Shenzhen Bay Laboratory,1,Oligomer|Amphiphile|Antimicrobial|Bacteria|DNA|Antimicrobial peptides|Cytotoxicity|Biophysics|Mechanism of action|Multiple drug resistance|In vivo|Drug resistance|Biology|Biochemistry|Chemistry|In vitro|Microbiology|Organic chemistry
Novel Feleucin-K3-Derived Peptides Modified with Sulfono-γ-AA Building Blocks Targeting <i>Pseudomonas aeruginosa</i> and Methicillin-Resistant <i>Staphylococcus aureus</i> Infections,Xiaomin Guo|Tiantian Yan|Jing Rao|Yingying An|Yue Xin|Xiaokang Miao|Rui Wang|Wangsheng Sun|Jianfeng Cai|Junqiu Xie,2022,27,NOT Open Access,Ministry of Education of the People's Republic of China|Chinese Academy of Medical Sciences|Central University Basic Research Fund of China,Chinese Academy of Medical Sciences & Peking Union Medical College|Lanzhou University|University of South Florida,2,Pseudomonas aeruginosa|Antimicrobial|Staphylococcus aureus|Biofilm|Microbiology|Chemistry|Multiple drug resistance|Methicillin-resistant Staphylococcus aureus|Antibiotics|Bacteria|Antimicrobial peptides|Antibiotic resistance|Skin infection|Pneumonia|Peptidomimetic|Biology|Peptide|Medicine|Biochemistry
Rational Design of Dipicolylamine-Containing Carbazole Amphiphiles Combined with Zn<sup>2+</sup> as Potent Broad-Spectrum Antibacterial Agents with a Membrane-Disruptive Mechanism,Liu JiaYong|Hongxia Li|Haizhou Li|Shanfang Fang|Jinguo Shi|Yongzhi Chen|Rongcui Zhong|Shouping Liu|Shuimu Lin,2021,48,NOT Open Access,National Natural Science Foundation of China,State Key Laboratory of Respiratory Disease|Guangzhou Medical University|Sun Yat-sen University,1,Antimicrobial|Chemistry|Pseudomonas aeruginosa|Antibiotic resistance|Bacteria|Amphiphile|In vivo|Staphylococcus aureus|Cytotoxicity|Antibiotics|Antibacterial activity|Microbiology|Chelation|Combinatorial chemistry|Biochemistry|In vitro|Organic chemistry|Biology|Copolymer
HEXIM1 Peptide Exhibits Antimicrobial Activity Against Antibiotic Resistant Bacteria Through Guidance of Cell Penetrating Peptide,Pooi Leng Ho|Han Kee Ong|Jeanette Teo|Dave Siak‐Wei Ow|Sheng‐Hao Chao,2019,20,Open Access,"Agency for Science, Technology and Research|Biomedical Research Council","Bioprocessing Technology Institute|Agency for Science, Technology and Research|National University Hospital|National University of Singapore",1,Antimicrobial|Antimicrobial peptides|Antibiotics|Bacteria|Microbiology|Peptide|Antibiotic resistance|Pseudomonas aeruginosa|Escherichia coli|Minimum inhibitory concentration|Biology|Chemistry|Bacterial cell structure|Biochemistry|Gene
"<i>Acinetobacter baumannii</i> : Pathogenesis, virulence factors, novel therapeutic options and mechanisms of resistance to antimicrobial agents with emphasis on tigecycline",Razieh Dehbanipour|Zohreh Ghalavand,2022,64,NOT Open Access,,Shahid Beheshti University of Medical Sciences,1,Acinetobacter baumannii|Tigecycline|Microbiology|Antibiotic resistance|Antimicrobial|Pseudomonas aeruginosa|Biology|Virulence|Enterococcus faecium|Drug resistance|Antibiotics|Bacteria
Real‐Time Monitoring of Multitarget Antimicrobial Mechanisms of Peptoids Using Label‐Free Imaging with Optical Diffraction Tomography,Minsang Kim|Yeongmi Cheon|Dongmin Shin|Jieun Choi|Josefine Eilsø Nielsen|Myeong Seon Jeong|Ho Yeon Nam|Sung‐Hak Kim|Reidar Lund|Håvard Jenssen|Annelise E. Barron|Seongsoo Lee|Jiwon Seo,2023,23,Open Access,"Silicon Valley Community Foundation|Cisco Systems|National Research Foundation|European Synchrotron Radiation Facility|Chonnam National University|Korea Basic Science Institute|National Research Foundation of Korea|Novo Nordisk|Chungnam National University Hospital|Novo Nordisk Fonden|Ministry of Science and ICT, South Korea|Commercializations Promotion Agency for R and D Outcomes|National Institutes of Health|Stanford Bio-X",Gwangju Institute of Science and Technology|Chonnam National University|Chungnam National University|Korea Basic Science Institute|Roskilde University|Stanford University|University of Oslo|Chung-Ang University,4,Peptoid|Antimicrobial|Antimicrobial peptides|Bacteria|Chemistry|Intracellular|Biophysics|Biochemistry|Peptide|Microbiology|Biology|Organic chemistry
Genetically engineered distal airway stem cell transplantation protects mice from pulmonary infection,Yueqing Zhou|Yun Shi|Ling Yang|Yufen Sun|Yufei Han|Zixian Zhao|Yu‐jia Wang|Ying Liu|Yu Ma|Ting Zhang|Tao Ren|Tina P. Dale|Nicholas R. Forsyth|Faguang Jin|Jieming Qu|Wei Zuo|Jin‐Fu Xu,2019,44,Open Access,National Natural Science Foundation of China,Tongji University|Shanghai Pulmonary Hospital|Shanghai East Hospital|Tang Du Hospital|Air Force Medical University|Regend Therapeutics (China)|Keele University|Shanghai Jiao Tong University|Ruijin Hospital|First Affiliated Hospital of Guangzhou Medical University|Ningxia Medical University|Guangzhou Medical University,2,Medicine|China|Transplantation|Traditional Chinese medicine|Emergency department|Family medicine|Internal medicine|Alternative medicine|Pathology|Nursing|History
Acinetobacter baumannii Genes Required for Bacterial Survival during Bloodstream Infection,Sargurunathan Subashchandrabose|Sara N. Smith|Valerie DeOrnellas|Sébastien Crépin|Monica M. Kole|Carina Zahdeh|Harry L. T. Mobley,2015,102,Open Access,University of Texas at Austin|National Institute of Allergy and Infectious Diseases,University of Michigan,1,Biology|Transposable element|Acinetobacter baumannii|Mutant|Microbiology|Enterobactin|Gene|Complementation|Transposon mutagenesis|Genetics|Bacteria|Pseudomonas aeruginosa
"The novel cathelicidin of naked mole rats, Hg-CATH, showed potent antimicrobial activity and low cytotoxicity",Hyesun Cho|Nagasundarapandian Soundrarajan|Quy Le Van Chanh|Hyoim Jeon|Se-Yeoun Cha|Mingue Kang|Byeongyong Ahn|Kwonho Hong|Hyuk Song|Jin‐Hoi Kim|Kyung-Soo Oh|Chankyu Park,2018,18,NOT Open Access,Konkuk University,Konkuk University|Jeonbuk National University|Konkuk University Medical Center,1,Cathelicidin|Antimicrobial|Biology|Peptide|Bacteria|Antimicrobial peptides|Hemolysis|In silico|Biochemistry|Antibacterial activity|Cytotoxicity|Microbiology|Gram-negative bacteria|Gene|Escherichia coli|In vitro|Genetics|Immunology
"Pan-Drug Resistant Acinetobacter baumannii, but Not Other Strains, Are Resistant to the Bee Venom Peptide Melittin",Karyne Rangel|Guilherme C. Lechuga|André Luis Almeida Souza|João Pedro Rangel da Silva Carvalho|Maria Helena Simões Villas Bôas|Salvatore G. De-Simone,2020,33,Open Access,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Fundação Oswaldo Cruz|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Universidade Federal Fluminense,1,Acinetobacter baumannii|Melittin|Microbiology|Polymyxin|Polymyxin B|Antimicrobial|Antibiotics|Biology|Antibiotic resistance|Drug resistance|Broth microdilution|Antimicrobial peptides|Minimum inhibitory concentration|Bacteria|Peptide|Pseudomonas aeruginosa|Biochemistry
Myxinidin2 and myxinidin3 suppress inflammatory responses through STAT3 and MAPKs to promote wound healing,Hyo Mi Han|Sujin Ko|Min-Ju Cheong|Jeong Kyu Bang|Chang Ho Seo|Tudor Luchian|Yoonkyung Park,2017,26,Open Access,"National Research Foundation|National Research Foundation of Korea|Ministry of Science and ICT, South Korea|Institute for Information and Communications Technology Promotion",Chosun University|Korea Basic Science Institute|Kongju National University|Alexandru Ioan Cuza University,2,Pseudomonas aeruginosa|Staphylococcus aureus|Acinetobacter baumannii|Antimicrobial|Microbiology|Wound healing|Antibiotics|Bacteria|Medicine|Doxycycline|Antibiotic resistance|Pathogenic bacteria|Inflammation|Biofilm|Immunology|Biology
Antimicrobial Random Peptide Mixtures Eradicate Acinetobacter baumannii Biofilms and Inhibit Mouse Models of Infection,Hannah E. Caraway|Jonathan Z. Lau|Bar Maron|Myung Whan Oh|Yael Belo|Aya Brill|Einav Malach|Nahed Ismail|Zvi Hayouka|Gee W. Lau,2022,16,Open Access,,University of Illinois Urbana-Champaign|Hebrew University of Jerusalem|University of Illinois Chicago,2,Acinetobacter baumannii|Antibiotics|Antibiotic resistance|Biofilm|Antimicrobial|Microbiology|Sepsis|Biology|Bacteria|Context (archaeology)|Multiple drug resistance|Antimicrobial peptides|Pseudomonas aeruginosa|Immunology|Genetics
